"Package","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","Built"
"tidyverse","2.0.0",NA,"R (>= 3.3)","broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,"MIT + file LICENSE","4.4.0"
"timechange","0.3.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat (>= 0.7.1.99), knitr",NA,"GPL (>= 3)","4.4.0"
"tinytable","0.3.0",NA,"R (>= 4.1.0)","methods",NA,"base64enc, data.table (>= 1.15.2), fansi, ggplot2,
marginaleffects, markdown, pandoc, quarto, rmarkdown,
rstudioapi, scales, stringi, tibble, tinysnapshot, tinytest,
tinytex, webshot2","knitr","GPL (>= 3)","4.4.0"
"tinytex","0.51",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE","4.4.0"
"tzdb","0.4.0",NA,"R (>= 3.5.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE","4.4.0"
"utf8","1.2.4",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE","4.4.0"
"uuid","1.2-0",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE","4.4.0"
"V8","4.4.2",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE","4.4.0"
"vctrs","0.6.5",NA,"R (>= 3.5.0)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot",NA,"MIT + file LICENSE","4.4.0"
"viridisLite","0.4.2",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE","4.4.0"
"vroom","1.6.5",NA,"R (>= 3.6)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE","4.4.0"
"withr","3.0.2",NA,"R (>= 3.6.0)","graphics, grDevices",NA,"callr, DBI, knitr, methods, rlang, rmarkdown (>= 2.12),
RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE","4.4.0"
"writexl","1.5.0",NA,NA,NA,NA,"spelling, readxl, nycflights13, testthat, bit64",NA,"BSD_2_clause + file LICENSE","4.4.0"
"WRS2","1.1-7",NA,"R (>= 4.0.0)","MASS, reshape, plyr, stats, graphics, grDevices, utils",NA,"knitr, car, ggplot2, colorspace, mediation, GGally, codetools",NA,"GPL-3","4.4.0"
"xfun","0.43",NA,NA,"grDevices, stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown (>= 1.5), knitr (>= 1.42), htmltools, remotes,
pak, rhub, renv, curl, xml2, jsonlite, magick, yaml, rmarkdown",NA,"MIT + file LICENSE","4.4.0"
"xml2","1.3.6",NA,"R (>= 3.6.0)","cli, methods, rlang (>= 1.1.0)",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE","4.4.0"
"xtable","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)","4.4.0"
"yaml","2.3.8",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE","4.4.0"
"zeallot","0.2.0",NA,"R (>= 3.2)",NA,NA,"codetools, testthat, knitr, rmarkdown, purrr",NA,"MIT + file LICENSE","4.4.0"
"zoo","1.8-12",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3","4.4.0"
